apps,interface,time
charac_cg,ib,181.64
charac_cg,ipoib,176.47
charac_mg,eth,83.98
charac_is,eth,151.47
charac_bt,eth,532.47
charac_ep,eth,37.17
charac_bt,ipoib,594.05
charac_alya,eth,299.54
charac_alya,ipoib,284.07
charac_is,ib,10.52
charac_ft,ib,181.87
charac_is,ipoib,14.63
charac_imb_CPU,ib,10.1869
charac_imb_CPU,eth,10.5931
charac_imb_CPU,ipoib,10.8870
charac_imb_memory,ib,86.6155
charac_ft,ipoib,168.20
charac_imb_memory,eth,92.4111
charac_mg,ib,33.70
charac_lu,eth,308.98
charac_lu,ipoib,283.16
charac_lu,ib,226.25
charac_bt,ib,408.10
charac_ep,ib,37.23
charac_ep,ipoib,37.20
charac_sp,ipoib,524.27
charac_ft,eth,1583.47
charac_sp,eth,807.84
charac_alya,ib,251.59
charac_imb_memory,ipoib,98.8150
charac_cg,eth,767.05
charac_mg,ipoib,35.57
charac_sp,ib,451.60
