apps,interface,time
exec_ep,ib,37.23
exec_mg,eth,83.94
exec_bt,eth,503.86
exec_alya,ipoib,280.68
exec_sp,ib,447.29
exec_cg,ipoib,180.47
exec_is,ib,10.55
exec_imb_CPU,ipoib,8.6652
exec_imb_memory,ib,27.418
exec_ep,ipoib,37.40
exec_imb_CPU,eth,10.0329
exec_imb_CPU,ib,8.8084
exec_is,ipoib,13.85
exec_alya,ib,253.03
exec_is,eth,150.60
exec_imb_memory,eth,27.4565
exec_cg,ib,184.44
exec_lu,eth,309.51
exec_mg,ipoib,36.24
exec_mg,ib,36.81
exec_imb_memory,ipoib,26.8677
exec_lu,ib,225.42
exec_bt,ib,382.42
exec_ep,eth,37.12
exec_bt,ipoib,542.49
exec_sp,ipoib,519.25
exec_ft,ib,143.72
exec_lu,ipoib,289.45
exec_ft,eth,1578.57
exec_cg,eth,754.01
exec_ft,ipoib,171.29
exec_alya,eth,297.48
exec_sp,eth,807.15
exec_ft,ib,143.39
exec_mg,ipoib,34.68
exec_alya,ipoib,279.76
exec_sp,eth,802.75
exec_bt,ipoib,543.64
exec_ft,eth,1578.33
exec_alya,eth,295.74
exec_is,ipoib,13.02
exec_imb_memory,ipoib,26.6891
exec_alya,ib,252.84
exec_ft,ipoib,178.81
exec_is,eth,151.12
exec_is,ib,10.34
exec_imb_CPU,eth,8.9023
exec_ep,ib,38.01
exec_ep,eth,37.21
exec_bt,ib,379.11
exec_imb_CPU,ipoib,9.0368
exec_imb_memory,ib,27.0317
exec_bt,eth,504.56
exec_cg,eth,752.49
exec_lu,ib,225.55
exec_sp,ipoib,524.88
exec_mg,ib,36.00
exec_ep,ipoib,39.25
exec_lu,ipoib,284.83
exec_imb_CPU,ib,8.7675
exec_sp,ib,460.93
exec_cg,ib,181.60
exec_mg,eth,82.94
exec_lu,eth,305.39
exec_cg,ipoib,179.47
exec_imb_memory,eth,26.7275
exec_bt,ipoib,544.45
exec_ft,ib,144.69
exec_lu,ipoib,286.75
exec_bt,ib,383.21
exec_mg,ipoib,34.61
exec_imb_CPU,ib,8.9627
exec_imb_memory,ipoib,27.3748
exec_is,ipoib,15.26
exec_alya,eth,299.85
exec_mg,ib,35.11
exec_bt,eth,505.23
exec_ft,ipoib,170.65
exec_imb_memory,ib,27.5008
exec_sp,eth,802.21
exec_lu,ib,227.34
exec_imb_memory,eth,27.6242
exec_is,eth,151.12
exec_sp,ib,458.17
exec_ep,ipoib,38.20
exec_ep,ib,37.28
exec_imb_CPU,eth,9.1153
exec_is,ib,10.44
exec_cg,ipoib,182.33
exec_cg,eth,752.88
exec_ep,eth,37.23
exec_alya,ipoib,279.79
exec_ft,eth,1578.92
exec_cg,ib,182.20
exec_sp,ipoib,526.20
exec_imb_CPU,ipoib,8.6396
exec_lu,eth,311.66
exec_alya,ib,255.88
exec_mg,eth,83.05
exec_alya,eth,296.85
exec_alya,ib,252.72
exec_mg,ipoib,35.00
exec_imb_CPU,ib,9.4092
exec_ft,eth,1578.11
exec_bt,eth,504.95
exec_is,ib,10.32
exec_ep,ipoib,38.25
exec_cg,eth,760.25
exec_is,ipoib,14.04
exec_ep,ib,37.22
exec_imb_memory,ipoib,27.4807
exec_sp,eth,802.25
exec_ft,ib,143.95
exec_imb_memory,eth,26.664
exec_lu,eth,305.19
exec_bt,ipoib,543.34
exec_lu,ib,226.74
exec_imb_CPU,ipoib,9.6988
exec_sp,ib,456.29
exec_is,eth,150.60
exec_cg,ib,182.86
exec_bt,ib,381.80
exec_lu,ipoib,284.86
exec_imb_memory,ib,26.09
exec_ep,eth,37.18
exec_ft,ipoib,171.18
exec_mg,ib,34.92
exec_cg,ipoib,178.94
exec_imb_CPU,eth,8.6762
exec_alya,ipoib,281.79
exec_mg,eth,84.33
exec_sp,ipoib,528.00
exec_ft,ib,144.14
exec_alya,ib,253.97
exec_mg,ib,34.98
exec_is,ib,10.26
exec_mg,eth,80.91
exec_ep,eth,37.44
exec_imb_CPU,ipoib,8.8952
exec_bt,eth,505.82
exec_alya,eth,297.62
exec_is,eth,150.73
exec_imb_memory,eth,26.0441
exec_bt,ib,380.44
exec_is,ipoib,15.45
exec_imb_memory,ipoib,26.8156
exec_lu,ib,228.04
exec_cg,eth,753.21
exec_sp,ib,449.12
exec_ep,ib,37.01
exec_imb_memory,ib,26.8681
exec_bt,ipoib,550.97
exec_imb_CPU,ib,8.867
exec_ft,eth,1577.95
exec_ep,ipoib,37.35
exec_alya,ipoib,280.03
exec_mg,ipoib,35.70
exec_imb_CPU,eth,10.2082
exec_cg,ipoib,184.01
exec_cg,ib,184.84
exec_lu,eth,304.47
exec_lu,ipoib,282.38
exec_ft,ipoib,167.10
exec_sp,eth,805.55
exec_sp,ipoib,518.92
exec_lu,ipoib,275.07
exec_alya,eth,298.97
exec_ep,ib,37.18
exec_mg,ib,34.83
exec_cg,ib,184.05
exec_ep,eth,37.20
exec_bt,eth,506.17
exec_cg,eth,752.11
exec_alya,ib,253.11
exec_imb_memory,eth,26.3837
exec_sp,eth,804.25
exec_lu,ib,226.76
exec_ft,ib,151.08
exec_lu,eth,306.39
exec_cg,ipoib,180.30
exec_ft,eth,1579.60
exec_mg,eth,83.93
exec_bt,ipoib,544.80
exec_imb_CPU,ib,8.6686
exec_bt,ib,375.64
exec_sp,ipoib,523.40
exec_ft,ipoib,170.40
exec_is,ib,10.26
exec_imb_CPU,eth,10.3158
exec_sp,ib,456.11
exec_mg,ipoib,35.19
exec_imb_memory,ipoib,27.4428
exec_is,eth,150.51
exec_is,ipoib,15.00
exec_imb_memory,ib,27.2413
exec_ep,ipoib,37.63
exec_alya,ipoib,281.43
exec_imb_CPU,ipoib,8.6642
exec_ep,eth,37.57
exec_ft,eth,1578.29
exec_ep,ib,37.38
exec_ep,ipoib,37.30
exec_imb_memory,ib,26.9474
exec_lu,eth,303.14
exec_ft,ipoib,172.46
exec_alya,ib,252.95
exec_is,eth,151.22
exec_ft,ib,143.81
exec_mg,eth,82.97
exec_lu,ib,226.94
exec_imb_CPU,eth,8.9412
exec_bt,ipoib,546.02
exec_imb_memory,eth,27.3047
exec_is,ipoib,12.70
exec_cg,ib,183.39
exec_sp,eth,804.48
exec_sp,ib,469.41
exec_imb_CPU,ib,8.8865
exec_cg,eth,752.09
exec_bt,ib,383.16
exec_is,ib,10.78
exec_imb_memory,ipoib,26.3458
exec_alya,eth,295.19
exec_cg,ipoib,181.07
exec_mg,ipoib,34.68
exec_sp,ipoib,518.02
exec_mg,ib,36.54
exec_imb_CPU,ipoib,8.7313
exec_lu,ipoib,278.51
exec_alya,ipoib,282.23
exec_bt,eth,501.36
exec_ft,ib,144.11
exec_lu,ipoib,278.79
exec_bt,eth,503.29
exec_mg,ipoib,35.07
exec_ep,ib,37.48
exec_is,ipoib,14.07
exec_alya,eth,297.98
exec_mg,ib,35.91
exec_sp,ipoib,522.87
exec_imb_CPU,eth,8.6651
exec_ep,eth,37.34
exec_lu,ib,224.57
exec_imb_CPU,ipoib,8.6747
exec_mg,eth,83.90
exec_imb_memory,ib,26.5094
exec_lu,eth,302.54
exec_cg,ipoib,183.02
exec_cg,ib,183.75
exec_ft,ipoib,170.23
exec_sp,ib,452.81
exec_bt,ipoib,541.59
exec_imb_memory,ipoib,28.1126
exec_ft,eth,1577.90
exec_alya,ipoib,278.99
exec_is,ib,10.49
exec_is,eth,150.86
exec_imb_memory,eth,26.6800
exec_cg,eth,750.07
exec_ep,ipoib,39.43
exec_alya,ib,253.98
exec_imb_CPU,ib,8.6733
exec_bt,ib,381.83
exec_sp,eth,803.98
exec_lu,ipoib,285.60
exec_ep,eth,37.32
exec_cg,eth,751.20
exec_cg,ib,183.25
exec_sp,eth,806.11
exec_sp,ipoib,519.57
exec_imb_memory,eth,26.5005
exec_ft,ipoib,168.06
exec_lu,eth,306.84
exec_ep,ib,37.11
exec_ep,ipoib,37.37
exec_cg,ipoib,180.13
exec_lu,ib,226.01
exec_bt,eth,502.52
exec_bt,ib,379.86
exec_ft,ib,143.78
exec_mg,eth,81.96
exec_mg,ib,34.40
exec_sp,ib,452.51
exec_imb_CPU,ib,9.6044
exec_alya,ipoib,280.90
exec_is,eth,150.98
exec_is,ipoib,12.69
exec_imb_memory,ib,27.3902
exec_imb_CPU,ipoib,8.7182
exec_alya,ib,255.22
exec_ft,eth,1578.96
exec_imb_memory,ipoib,25.8945
exec_is,ib,10.34
exec_alya,eth,297.88
exec_bt,ipoib,544.41
exec_mg,ipoib,34.71
exec_imb_CPU,eth,9.2664
exec_imb_memory,ipoib,26.8417
exec_bt,ib,388.83
exec_alya,ipoib,280.12
exec_sp,ib,461.17
exec_lu,eth,309.61
exec_mg,ipoib,35.12
exec_ep,ipoib,37.21
exec_lu,ipoib,284.17
exec_mg,ib,36.76
exec_ft,eth,1578.04
exec_ep,eth,37.33
exec_mg,eth,82.96
exec_sp,eth,802.60
exec_lu,ib,224.19
exec_imb_memory,eth,26.9710
exec_ep,ib,37.68
exec_ft,ib,143.65
exec_imb_CPU,ipoib,9.0019
exec_sp,ipoib,522.85
exec_bt,ipoib,544.93
exec_cg,eth,754.19
exec_is,ib,10.56
exec_alya,eth,302.26
exec_bt,eth,504.37
exec_ft,ipoib,176.42
exec_is,eth,150.77
exec_imb_memory,ib,26.8311
exec_cg,ib,184.97
exec_is,ipoib,14.17
exec_imb_CPU,eth,9.3818
exec_imb_CPU,ib,9.8091
exec_alya,ib,257.67
exec_cg,ipoib,179.43
exec_lu,ipoib,282.10
exec_imb_memory,eth,28.0128
exec_alya,ipoib,279.40
exec_cg,eth,751.00
exec_is,ipoib,15.16
exec_ft,ib,145.94
exec_imb_CPU,ib,8.7001
exec_bt,ipoib,545.56
exec_imb_memory,ipoib,25.4821
exec_mg,ipoib,34.84
exec_is,ib,10.47
exec_alya,eth,299.80
exec_sp,ib,448.51
exec_ft,ipoib,173.11
exec_is,eth,151.21
exec_mg,eth,82.89
exec_lu,ib,228.56
exec_lu,eth,303.17
exec_sp,ipoib,524.17
exec_imb_CPU,ipoib,8.6864
exec_bt,ib,385.95
exec_alya,ib,251.13
exec_ep,ipoib,37.35
