apps,time,instance
mg,52.77,DS4
cg,229.3,DS4
ft,299.2,DS4
bt,575.52,DS4
sp,964.8,DS4
lu,359.64,DS4
is,24.24,DS4
ep,56.84,DS4
alya,227.47,DS4
mg,48.83,DS4
alya,227.06,DS4
is,24.75,DS4
ep,56.91,DS4
lu,356.54,DS4
ft,298.54,DS4
sp,941.44,DS4
cg,228.45,DS4
bt,574.8,DS4
ep,56.9,DS4
alya,226.83,DS4
sp,927.71,DS4
is,24.51,DS4
cg,228.2,DS4
ft,298.54,DS4
bt,577.18,DS4
lu,355.21,DS4
mg,46.59,DS4
ep,57.03,DS4
bt,573.83,DS4
cg,228.08,DS4
ft,298.58,DS4
sp,942.84,DS4
is,24.01,DS4
mg,47.34,DS4
alya,227.98,DS4
lu,355.97,DS4
ep,57.21,DS4
sp,951.47,DS4
cg,227.74,DS4
lu,354.92,DS4
ft,298.57,DS4
bt,576.61,DS4
mg,47.06,DS4
alya,228.1,DS4
is,24.13,DS4
bt,577.34,DS4
lu,354.58,DS4
is,24.19,DS4
cg,231.21,DS4
ep,57.32,DS4
alya,227.57,DS4
mg,47.65,DS4
ft,298.11,DS4
sp,965.89,DS4
bt,582.6,DS4
mg,48.27,DS4
sp,974.2,DS4
ep,57.07,DS4
ft,298.61,DS4
alya,227.48,DS4
lu,354.49,DS4
is,24.13,DS4
cg,226.8,DS4
ft,298.59,DS4
is,23.88,DS4
alya,226.38,DS4
lu,352.02,DS4
bt,576.88,DS4
sp,945.95,DS4
mg,47.47,DS4
ep,56.88,DS4
cg,227.9,DS4
cg,227.77,DS4
is,23.95,DS4
ft,298.63,DS4
bt,573.93,DS4
mg,47.13,DS4
alya,230.51,DS4
lu,356.24,DS4
sp,927.36,DS4
ep,60.32,DS4
alya,229.56,DS4
ep,56.97,DS4
mg,48.14,DS4
sp,918.48,DS4
is,23.92,DS4
cg,228.05,DS4
lu,356.6,DS4
ft,298.7,DS4
bt,575,DS4
ep,57.09,DS4
is,24.52,DS4
cg,227.52,DS4
mg,47.6,DS4
ft,298.78,DS4
sp,950.93,DS4
alya,226.52,DS4
bt,581.18,DS4
lu,351.8,DS4
mg,48.04,DS4
ft,298.59,DS4
lu,353.21,DS4
ep,58.76,DS4
is,24.22,DS4
alya,227.2,DS4
bt,580.1,DS4
sp,929.39,DS4
cg,227.46,DS4
lu,353.72,DS4
cg,227.26,DS4
sp,954.35,DS4
alya,226.28,DS4
ep,57.14,DS4
bt,577.11,DS4
ft,299.16,DS4
is,24.52,DS4
mg,47.06,DS4
alya,226.61,DS4
ep,56.88,DS4
mg,47.86,DS4
sp,936.34,DS4
