apps,time,instance
mg,18.09,F8
is,18.75,F8
bt,410.44,F8
ep,60.93,F8
cg,167,F8
lu,244.19,F8
ft,240.17,F8
sp,322.13,F8
alya,198.17,F8
lu,239.64,F8
ep,61.63,F8
alya,197.84,F8
bt,411.79,F8
mg,18.16,F8
cg,171.54,F8
sp,328.63,F8
is,18.81,F8
ft,242.66,F8
sp,330.11,F8
ft,241.93,F8
alya,199.53,F8
is,18.7,F8
cg,168.32,F8
ep,62.12,F8
bt,409.81,F8
mg,19.24,F8
lu,246.84,F8
sp,337.97,F8
ft,243.34,F8
is,18.83,F8
bt,417.51,F8
mg,18.55,F8
lu,247.65,F8
alya,200.55,F8
ep,62.66,F8
cg,173.09,F8
bt,415.74,F8
lu,246.25,F8
sp,328.48,F8
is,18.76,F8
cg,171.91,F8
ep,62.22,F8
alya,202.03,F8
mg,18.45,F8
ft,242.18,F8
is,18.76,F8
ep,61.98,F8
alya,201.61,F8
bt,414.21,F8
ft,242.64,F8
lu,247.47,F8
mg,18.31,F8
cg,171.98,F8
sp,330.82,F8
cg,172.92,F8
bt,412.43,F8
sp,329.05,F8
mg,18.33,F8
lu,244.61,F8
ft,241.95,F8
is,18.66,F8
alya,199.36,F8
ep,62.22,F8
is,19.11,F8
mg,18.42,F8
ft,242.54,F8
cg,171.15,F8
lu,246.18,F8
ep,62.24,F8
bt,413.67,F8
sp,329.77,F8
alya,203.02,F8
ep,61.95,F8
cg,170.73,F8
ft,242.35,F8
mg,18.74,F8
alya,202.9,F8
sp,328.11,F8
is,18.73,F8
bt,411.3,F8
lu,243.5,F8
lu,244.44,F8
is,18.72,F8
sp,328.17,F8
mg,18.2,F8
ep,61.96,F8
bt,414.87,F8
cg,171.25,F8
ft,242.09,F8
alya,201.12,F8
ft,242.49,F8
mg,18.42,F8
lu,246.01,F8
bt,413.08,F8
alya,198.11,F8
is,18.72,F8
ep,61.94,F8
sp,328.81,F8
cg,169.15,F8
ep,62.05,F8
ft,242.17,F8
mg,18.43,F8
alya,198.82,F8
lu,246.58,F8
is,18.69,F8
bt,414.74,F8
cg,175.53,F8
sp,329.65,F8
sp,334.97,F8
mg,18.33,F8
cg,170.9,F8
is,18.86,F8
alya,208.89,F8
lu,250.46,F8
ft,242.24,F8
ep,62,F8
bt,415.52,F8
alya,202.51,F8
ft,242.59,F8
bt,413.32,F8
ep,61.83,F8
mg,18.19,F8
is,18.68,F8
lu,246.91,F8
sp,331.28,F8
cg,171.67,F8
lu,250.28,F8
bt,415.35,F8
ep,61.8,F8
ft,242.94,F8
is,18.71,F8
cg,170.1,F8
alya,202.41,F8
mg,18.49,F8
sp,328.3,F8
lu,246.55,F8
ep,61.99,F8
cg,168.29,F8
sp,327.8,F8
is,18.69,F8
alya,201.52,F8
ft,242.53,F8
bt,415.35,F8
mg,24.15,F8
mg,18.17,F8
is,18.78,F8
sp,373.48,F8
ep,62.07,F8
cg,171.86,F8
alya,199.62,F8
bt,413.22,F8
lu,246.13,F8
ft,242.42,F8
lu,243.76,F8
alya,201.59,F8
ft,241.85,F8
ep,61.95,F8
mg,18.28,F8
sp,329.05,F8
bt,415.16,F8
is,18.87,F8
cg,171.62,F8
lu,244.13,F8
ft,242.59,F8
cg,170.18,F8
bt,416.47,F8
mg,19.3,F8
sp,330.37,F8
ep,62.16,F8
is,18.77,F8
alya,202.75,F8
cg,169.73,F8
mg,18,F8
sp,327.41,F8
ep,63.3,F8
is,18.73,F8
lu,244.58,F8
alya,201.61,F8
ft,244.23,F8
bt,426.49,F8
lu,255.51,F8
cg,180.42,F8
ft,247.37,F8
is,18.8,F8
alya,207.94,F8
ep,63.36,F8
sp,328.28,F8
bt,412.68,F8
mg,18.7,F8
ft,241.97,F8
ep,62.21,F8
mg,18.42,F8
alya,202.19,F8
lu,244.46,F8
is,18.8,F8
bt,412.29,F8
sp,328.92,F8
cg,171.01,F8
lu,244.14,F8
ft,241.92,F8
mg,18.52,F8
alya,202.8,F8
sp,330.86,F8
ep,62.11,F8
bt,412.22,F8
cg,170.9,F8
is,18.89,F8
sp,330.27,F8
ft,242.1,F8
is,18.83,F8
mg,18.29,F8
cg,169.76,F8
lu,244.44,F8
ep,61.99,F8
alya,204.68,F8
bt,418.76,F8
ep,67.98,F8
is,18.91,F8
bt,412.96,F8
ft,241.95,F8
sp,330.45,F8
alya,203.4,F8
cg,172.76,F8
mg,18.49,F8
lu,244.92,F8
ep,62.15,F8
mg,19.16,F8
lu,244.68,F8
is,18.85,F8
sp,328.26,F8
cg,168.98,F8
alya,201.45,F8
ft,242.2,F8
bt,413.07,F8
ep,62.24,F8
sp,328.49,F8
mg,18.73,F8
alya,203.05,F8
lu,243.62,F8
is,19.26,F8
ft,241.62,F8
cg,170.68,F8
bt,412.47,F8
cg,172.95,F8
mg,18.13,F8
alya,203.25,F8
lu,245.66,F8
bt,411.6,F8
sp,337.93,F8
is,18.77,F8
ep,63.37,F8
ft,244.32,F8
mg,18.41,F8
sp,334.13,F8
ft,245.46,F8
bt,422.16,F8
lu,249.45,F8
ep,63.58,F8
cg,175.29,F8
is,18.87,F8
alya,207.79,F8
lu,253.53,F8
ep,63.92,F8
is,18.9,F8
alya,205.15,F8
ft,241.76,F8
sp,327.93,F8
cg,169.77,F8
bt,414.77,F8
mg,18.94,F8
