apps,interface,bytes,time,mbytes-sec
exec_intel,ib,0,1.10,0.00
exec_intel,ib,1,1.20,0.83
exec_intel,ib,2,1.14,1.76
exec_intel,ib,4,1.15,3.47
exec_intel,ib,8,1.21,6.59
exec_intel,ib,16,1.20,13.35
exec_intel,ib,32,1.21,26.50
exec_intel,ib,64,1.28,50.17
exec_intel,ib,128,1.85,69.08
exec_intel,ib,256,1.99,128.47
exec_intel,ib,512,2.12,241.54
exec_intel,ib,1024,2.40,426.91
exec_intel,ib,2048,2.93,698.71
exec_intel,ib,4096,4.05,1010.74
exec_intel,ib,8192,5.84,1403.03
exec_intel,ib,16384,6.40,2558.34
exec_intel,ib,32768,8.40,3900.54
exec_intel,ib,65536,12.50,5241.01
exec_intel,ib,131072,20.83,6291.86
exec_intel,ib,262144,37.59,6974.33
exec_intel,ib,524288,71.22,7361.29
exec_intel,ib,1048576,137.45,7628.59
exec_intel,ib,2097152,270.36,7756.81
exec_intel,ib,4194304,537.03,7810.13
exec_intel,eth,0,6.45,0.00
exec_intel,eth,1,6.06,0.16
exec_intel,eth,2,6.01,0.33
exec_intel,eth,4,5.90,0.68
exec_intel,eth,8,5.89,1.36
exec_intel,eth,16,5.80,2.76
exec_intel,eth,32,5.83,5.49
exec_intel,eth,64,5.85,10.94
exec_intel,eth,128,5.88,21.78
exec_intel,eth,256,5.94,43.07
exec_intel,eth,512,6.03,84.92
exec_intel,eth,1024,6.20,165.16
exec_intel,eth,2048,6.54,313.21
exec_intel,eth,4096,7.68,533.11
exec_intel,eth,8192,8.24,993.69
exec_intel,eth,16384,11.07,1479.79
exec_intel,eth,32768,18.32,1788.80
exec_intel,eth,65536,37.40,1752.13
exec_intel,eth,131072,51.43,2548.63
exec_intel,eth,262144,74.18,3534.10
exec_intel,eth,524288,118.12,4438.46
exec_intel,eth,1048576,208.32,5033.54
exec_intel,eth,2097152,392.90,5337.63
exec_intel,eth,4194304,785.44,5340.04
exec_intel,ipoib,0,6.79,0.00
exec_intel,ipoib,1,5.82,0.17
exec_intel,ipoib,2,5.83,0.34
exec_intel,ipoib,4,5.84,0.68
exec_intel,ipoib,8,5.79,1.38
exec_intel,ipoib,16,5.83,2.75
exec_intel,ipoib,32,5.83,5.49
exec_intel,ipoib,64,5.86,10.92
exec_intel,ipoib,128,5.87,21.80
exec_intel,ipoib,256,5.92,43.25
exec_intel,ipoib,512,6.00,85.35
exec_intel,ipoib,1024,6.48,158.09
exec_intel,ipoib,2048,6.81,300.94
exec_intel,ipoib,4096,7.69,532.31
exec_intel,ipoib,8192,8.29,988.07
exec_intel,ipoib,16384,11.18,1465.93
exec_intel,ipoib,32768,18.42,1778.68
exec_intel,ipoib,65536,37.42,1751.54
exec_intel,ipoib,131072,51.02,2569.25
exec_intel,ipoib,262144,73.92,3546.47
exec_intel,ipoib,524288,118.16,4437.15
exec_intel,ipoib,1048576,207.72,5047.98
exec_intel,ipoib,2097152,387.95,5405.78
exec_intel,ipoib,4194304,770.31,5444.93
exec_intel,ib,0,1.16,0.00
exec_intel,ib,1,1.20,0.83
exec_intel,ib,2,1.17,1.71
exec_intel,ib,4,1.19,3.37
exec_intel,ib,8,1.25,6.39
exec_intel,ib,16,1.22,13.14
exec_intel,ib,32,1.23,25.97
exec_intel,ib,64,1.29,49.50
exec_intel,ib,128,1.95,65.80
exec_intel,ib,256,2.10,121.89
exec_intel,ib,512,2.27,225.80
exec_intel,ib,1024,2.55,400.97
exec_intel,ib,2048,3.11,657.85
exec_intel,ib,4096,4.43,924.87
exec_intel,ib,8192,6.12,1338.25
exec_intel,ib,16384,6.76,2424.26
exec_intel,ib,32768,8.69,3769.41
exec_intel,ib,65536,12.56,5216.66
exec_intel,ib,131072,20.83,6291.76
exec_intel,ib,262144,37.67,6959.81
exec_intel,ib,524288,71.21,7362.74
exec_intel,ib,1048576,137.96,7600.64
exec_intel,ib,2097152,270.07,7765.23
exec_intel,ib,4194304,537.37,7805.32
exec_intel,ipoib,0,6.31,0.00
exec_intel,ipoib,1,6.58,0.15
exec_intel,ipoib,2,6.85,0.29
exec_intel,ipoib,4,6.50,0.61
exec_intel,ipoib,8,6.29,1.27
exec_intel,ipoib,16,6.19,2.59
exec_intel,ipoib,32,6.14,5.21
exec_intel,ipoib,64,6.08,10.53
exec_intel,ipoib,128,6.03,21.21
exec_intel,ipoib,256,6.03,42.45
exec_intel,ipoib,512,6.04,84.76
exec_intel,ipoib,1024,6.17,166.08
exec_intel,ipoib,2048,6.73,304.37
exec_intel,ipoib,4096,7.81,524.45
exec_intel,ipoib,8192,8.54,958.78
exec_intel,ipoib,16384,11.36,1442.49
exec_intel,ipoib,32768,18.28,1792.27
exec_intel,ipoib,65536,37.85,1731.31
exec_intel,ipoib,131072,51.06,2566.81
exec_intel,ipoib,262144,72.63,3609.38
exec_intel,ipoib,524288,116.84,4487.12
exec_intel,ipoib,1048576,209.56,5003.66
exec_intel,ipoib,2097152,382.01,5489.85
exec_intel,ipoib,4194304,756.48,5544.52
exec_intel,eth,0,6.56,0.00
exec_intel,eth,1,6.45,0.16
exec_intel,eth,2,6.23,0.32
exec_intel,eth,4,6.10,0.66
exec_intel,eth,8,6.00,1.33
exec_intel,eth,16,5.92,2.70
exec_intel,eth,32,5.84,5.48
exec_intel,eth,64,5.82,11.00
exec_intel,eth,128,5.78,22.16
exec_intel,eth,256,5.84,43.86
exec_intel,eth,512,6.00,85.38
exec_intel,eth,1024,6.09,168.18
exec_intel,eth,2048,6.57,311.51
exec_intel,eth,4096,7.92,517.48
exec_intel,eth,8192,8.39,976.71
exec_intel,eth,16384,11.09,1477.61
exec_intel,eth,32768,18.40,1780.74
exec_intel,eth,65536,38.13,1718.96
exec_intel,eth,131072,51.88,2526.22
exec_intel,eth,262144,72.96,3593.19
exec_intel,eth,524288,120.45,4352.74
exec_intel,eth,1048576,208.12,5038.42
exec_intel,eth,2097152,386.86,5420.90
exec_intel,eth,4194304,788.71,5317.94
exec_intel,ib,0,1.14,0.00
exec_intel,ib,1,1.21,0.83
exec_intel,ib,2,1.15,1.74
exec_intel,ib,4,1.17,3.43
exec_intel,ib,8,1.21,6.61
exec_intel,ib,16,1.18,13.50
exec_intel,ib,32,1.20,26.59
exec_intel,ib,64,1.30,49.41
exec_intel,ib,128,1.86,68.93
exec_intel,ib,256,2.01,127.39
exec_intel,ib,512,2.13,240.48
exec_intel,ib,1024,2.42,422.54
exec_intel,ib,2048,2.92,700.61
exec_intel,ib,4096,4.05,1012.45
exec_intel,ib,8192,5.87,1395.74
exec_intel,ib,16384,6.43,2549.60
exec_intel,ib,32768,8.62,3802.77
exec_intel,ib,65536,12.76,5137.65
exec_intel,ib,131072,21.05,6227.85
exec_intel,ib,262144,37.73,6948.78
exec_intel,ib,524288,71.25,7358.06
exec_intel,ib,1048576,137.92,7602.93
exec_intel,ib,2097152,270.52,7752.25
exec_intel,ib,4194304,537.22,7807.48
exec_intel,eth,0,6.76,0.00
exec_intel,eth,1,6.15,0.16
exec_intel,eth,2,5.96,0.34
exec_intel,eth,4,6.00,0.67
exec_intel,eth,8,5.96,1.34
exec_intel,eth,16,5.96,2.68
exec_intel,eth,32,5.98,5.35
exec_intel,eth,64,5.97,10.73
exec_intel,eth,128,5.97,21.44
exec_intel,eth,256,6.00,42.68
exec_intel,eth,512,6.00,85.26
exec_intel,eth,1024,6.08,168.39
exec_intel,eth,2048,6.87,297.98
exec_intel,eth,4096,8.03,510.02
exec_intel,eth,8192,8.38,977.67
exec_intel,eth,16384,11.41,1436.40
exec_intel,eth,32768,18.69,1753.48
exec_intel,eth,65536,38.31,1710.66
exec_intel,eth,131072,51.63,2538.76
exec_intel,eth,262144,73.96,3544.53
exec_intel,eth,524288,119.69,4380.26
exec_intel,eth,1048576,210.20,4988.50
exec_intel,eth,2097152,391.81,5352.51
exec_intel,eth,4194304,793.09,5288.58
exec_intel,ipoib,0,6.22,0.00
exec_intel,ipoib,1,5.69,0.18
exec_intel,ipoib,2,5.72,0.35
exec_intel,ipoib,4,5.72,0.70
exec_intel,ipoib,8,5.68,1.41
exec_intel,ipoib,16,5.73,2.79
exec_intel,ipoib,32,5.70,5.61
exec_intel,ipoib,64,5.78,11.07
exec_intel,ipoib,128,5.78,22.14
exec_intel,ipoib,256,5.85,43.75
exec_intel,ipoib,512,5.89,86.96
exec_intel,ipoib,1024,6.03,169.90
exec_intel,ipoib,2048,6.62,309.60
exec_intel,ipoib,4096,7.65,535.26
exec_intel,ipoib,8192,8.19,1000.66
exec_intel,ipoib,16384,11.21,1461.51
