apps,bytes,time,mbytes-sec,instance
intel,0,8.7,0,A10
intel,1,9.05,0.11,A10
intel,2,8.66,0.23,A10
intel,4,9.11,0.44,A10
intel,8,8.53,0.94,A10
intel,16,8.64,1.85,A10
intel,32,9.15,3.5,A10
intel,64,9.01,7.1,A10
intel,128,10.36,12.35,A10
intel,256,9.21,27.79,A10
intel,512,9.41,54.42,A10
intel,1024,9.34,109.59,A10
intel,2048,9.8,208.96,A10
intel,4096,11.82,346.48,A10
intel,8192,12.58,651.27,A10
intel,16384,17.97,911.94,A10
intel,32768,25.6,1279.82,A10
intel,65536,64.58,1014.79,A10
intel,131072,72.6,1805.51,A10
intel,262144,103.23,2539.49,A10
intel,524288,184.53,2841.25,A10
intel,1048576,283.02,3705.02,A10
intel,2097152,537.98,3898.16,A10
intel,4194304,1035.28,4051.36,A10
intel,0,8.83,0,A10
intel,1,8.48,0.12,A10
intel,2,8.25,0.24,A10
intel,4,9.68,0.41,A10
intel,8,8.46,0.95,A10
intel,16,8.56,1.87,A10
intel,32,8.73,3.66,A10
intel,64,8.92,7.17,A10
intel,128,8.83,14.49,A10
intel,256,10.6,24.15,A10
intel,512,9.24,55.41,A10
intel,1024,9.35,109.52,A10
intel,2048,9.82,208.65,A10
intel,4096,12.82,319.54,A10
intel,8192,12.77,641.45,A10
intel,16384,16.21,1010.99,A10
intel,32768,25.29,1295.57,A10
intel,65536,57.47,1140.44,A10
intel,131072,74.46,1760.28,A10
intel,262144,103.15,2541.49,A10
intel,524288,164.15,3193.95,A10
intel,1048576,283.44,3699.53,A10
intel,2097152,531.2,3947.97,A10
intel,4194304,1047.19,4005.3,A10
intel,0,8.84,0,A10
intel,1,8.8,0.11,A10
intel,2,8.33,0.24,A10
intel,4,8.9,0.45,A10
intel,8,8.61,0.93,A10
intel,16,9.39,1.7,A10
intel,32,8.38,3.82,A10
intel,64,8.39,7.63,A10
intel,128,8.43,15.18,A10
intel,256,9.09,28.16,A10
intel,512,11.49,44.58,A10
intel,1024,9.09,112.67,A10
intel,2048,9.8,208.99,A10
intel,4096,11.31,362.16,A10
intel,8192,12.29,666.75,A10
intel,16384,16.53,991.05,A10
intel,32768,28.85,1135.7,A10
intel,65536,59.17,1107.56,A10
intel,131072,72.52,1807.47,A10
intel,262144,102.49,2557.87,A10
intel,524288,163.23,3211.99,A10
intel,1048576,283.94,3693.01,A10
intel,2097152,513.54,4083.73,A10
intel,4194304,1049.73,3995.59,A10
intel,0,8.97,0,A10
intel,1,8.72,0.11,A10
intel,2,8.49,0.24,A10
intel,4,10.51,0.38,A10
intel,8,8.92,0.9,A10
intel,16,8.46,1.89,A10
intel,32,8.92,3.59,A10
intel,64,8.94,7.16,A10
intel,128,8.49,15.07,A10
intel,256,8.57,29.86,A10
intel,512,9.19,55.71,A10
