apps,bytes,time,mbytes-sec
intel,0,7.73,0.00
intel,1,6.43,0.16
intel,2,6.32,0.32
intel,4,6.47,0.62
intel,8,6.88,1.16
intel,16,6.89,2.32
intel,32,6.92,4.62
intel,64,6.81,9.39
intel,128,6.59,19.42
intel,256,6.70,38.21
intel,512,6.77,75.63
intel,1024,7.06,144.99
intel,2048,7.65,267.78
intel,4096,8.67,472.45
intel,8192,9.04,906.29
intel,16384,12.02,1363.48
intel,32768,20.15,1626.40
intel,65536,46.30,1415.53
intel,131072,54.70,2396.05
intel,262144,79.20,3309.77
intel,524288,143.78,3646.42
intel,1048576,258.46,4057.04
intel,2097152,423.25,4954.84
intel,4194304,806.91,5198.00
intel,0,6.61,0.00
intel,1,6.90,0.14
intel,2,6.55,0.31
intel,4,6.83,0.59
intel,8,6.86,1.17
intel,16,6.74,2.37
intel,32,6.77,4.73
intel,64,6.71,9.53
intel,128,6.86,18.67
intel,256,7.10,36.06
intel,512,7.04,72.70
intel,1024,7.13,143.55
intel,2048,7.69,266.44
intel,4096,8.78,466.28
intel,8192,9.02,907.85
intel,16384,13.20,1240.76
intel,32768,22.49,1457.11
intel,65536,47.98,1365.89
intel,131072,57.70,2271.45
intel,262144,84.59,3098.87
intel,524288,129.29,4055.18
intel,1048576,224.56,4669.48
intel,2097152,449.57,4664.81
intel,4194304,802.10,5229.14
intel,0,6.81,0.00
intel,1,6.67,0.15
intel,2,6.78,0.30
intel,4,6.38,0.63
intel,8,6.59,1.21
intel,16,7.19,2.23
intel,32,6.51,4.92
intel,64,6.62,9.66
intel,128,7.17,17.86
intel,256,7.47,34.26
intel,512,6.97,73.50
intel,1024,7.01,146.10
intel,2048,7.46,274.48
intel,4096,8.57,478.18
intel,8192,9.66,847.68
intel,16384,12.66,1294.16
intel,32768,22.57,1451.63
intel,65536,41.79,1568.07
intel,131072,56.92,2302.63
intel,262144,80.74,3246.95
intel,524288,133.59,3924.67
intel,1048576,233.73,4486.26
intel,2097152,447.53,4686.07
intel,4194304,833.39,5032.84
intel,0,6.66,0.00
intel,1,6.73,0.15
intel,2,6.62,0.30
intel,4,7.08,0.56
intel,8,6.72,1.19
intel,16,6.81,2.35
intel,32,6.67,4.80
intel,64,6.71,9.54
intel,128,6.84,18.70
intel,256,7.03,36.42
intel,512,6.85,74.70
intel,1024,7.49,136.75
intel,2048,7.27,281.82
intel,4096,9.68,423.30
intel,8192,9.58,854.82
intel,16384,12.09,1354.64
intel,32768,20.42,1604.55
intel,65536,41.14,1592.92
intel,131072,57.32,2286.76
intel,262144,88.71,2955.11
intel,524288,131.40,3990.03
intel,1048576,244.26,4292.91
intel,2097152,428.27,4896.76
intel,4194304,783.25,5354.99
intel,0,7.18,0.00
intel,1,6.63,0.15
intel,2,7.31,0.27
intel,4,7.09,0.56
intel,8,6.44,1.24
intel,16,6.65,2.41
intel,32,6.90,4.64
intel,64,6.58,9.73
intel,128,7.25,17.65
intel,256,7.66,33.44
intel,512,6.80,75.27
intel,1024,6.74,152.02
intel,2048,7.38,277.40
intel,4096,8.58,477.34
intel,8192,9.51,861.63
intel,16384,13.18,1242.83
intel,32768,19.91,1645.75
intel,65536,43.64,1501.74
intel,131072,58.64,2235.21
intel,262144,81.34,3222.75
intel,524288,129.50,4048.66
intel,1048576,238.31,4399.99
intel,2097152,430.80,4868.06
intel,4194304,842.01,4981.32
intel,0,6.82,0.00
intel,1,6.46,0.15
intel,2,6.94,0.29
intel,4,6.66,0.60
intel,8,6.85,1.17
intel,16,6.29,2.54
intel,32,6.47,4.94
intel,64,6.49,9.87
intel,128,6.79,18.86
intel,256,6.81,37.58
intel,512,6.85,74.70
intel,1024,6.64,154.27
intel,2048,7.60,269.49
intel,4096,10.79,379.53
intel,8192,10.59,773.22
intel,16384,14.34,1142.51
intel,32768,19.81,1654.13
intel,65536,43.92,1492.27
intel,131072,56.57,2317.16
intel,262144,78.66,3332.47
intel,524288,187.02,2803.31
intel,1048576,228.39,4591.20
intel,2097152,415.78,5043.92
intel,4194304,815.04,5146.12
intel,0,6.91,0.00
intel,1,6.41,0.16
intel,2,6.36,0.31
intel,4,6.30,0.63
intel,8,6.49,1.23
intel,16,8.17,1.96
intel,32,6.88,4.65
intel,64,6.76,9.46
intel,128,7.52,17.03
intel,256,7.10,36.05
intel,512,8.00,64.02
intel,1024,7.01,146.00
intel,2048,7.75,264.27
intel,4096,8.72,469.63
intel,8192,9.36,875.36
intel,16384,12.21,1341.40
intel,32768,21.41,1530.45
intel,65536,42.59,1538.86
intel,131072,61.55,2129.48
intel,262144,83.11,3154.27
intel,524288,141.86,3695.74
intel,1048576,219.34,4780.53
intel,2097152,407.29,5149.03
intel,4194304,879.16,4770.82
intel,0,7.02,0.00
intel,1,6.16,0.16
intel,2,6.23,0.32
intel,4,6.85,0.58
intel,8,7.25,1.10
intel,16,7.00,2.29
intel,32,7.07,4.52
intel,64,7.44,8.60
intel,128,6.64,19.28
intel,256,7.03,36.42
intel,512,7.21,71.03
intel,1024,8.23,124.47
intel,2048,7.56,270.99
intel,4096,10.10,405.41
intel,8192,9.32,879.38
intel,16384,14.66,1117.47
intel,32768,21.99,1489.97
intel,65536,41.16,1592.31
intel,131072,56.08,2337.43
intel,262144,80.22,3267.94
intel,524288,129.95,4034.63
intel,1048576,254.27,4123.82
intel,2097152,438.40,4783.70
intel,4194304,917.20,4572.94
intel,0,8.57,0.00
intel,1,7.05,0.14
intel,2,7.09,0.28
intel,4,6.53,0.61
intel,8,6.56,1.22
intel,16,6.62,2.42
intel,32,6.57,4.87
intel,64,6.93,9.23
intel,128,6.72,19.06
intel,256,6.90,37.11
intel,512,7.12,71.87
intel,1024,7.36,139.22
intel,2048,7.42,275.97
intel,4096,10.12,404.61
intel,8192,9.91,826.95
intel,16384,12.59,1301.45
intel,32768,20.26,1617.64
intel,65536,43.80,1496.13
intel,131072,60.06,2182.52
intel,262144,91.05,2879.10
intel,524288,133.85,3916.85
intel,1048576,236.28,4437.78
intel,2097152,437.91,4788.97
intel,4194304,891.99,4702.21
intel,0,7.01,0.00
intel,1,6.97,0.14
intel,2,7.30,0.27
intel,4,6.99,0.57
intel,8,6.59,1.21
intel,16,7.10,2.25
intel,32,6.50,4.92
intel,64,7.08,9.04
intel,128,6.48,19.74
intel,256,7.04,36.35
intel,512,7.10,72.14
intel,1024,6.89,148.59
intel,2048,7.56,270.89
intel,4096,8.49,482.47
intel,8192,9.02,908.08
intel,16384,12.38,1323.59
intel,32768,19.61,1671.25
intel,65536,46.64,1405.29
intel,131072,56.48,2320.62
intel,262144,81.16,3229.94
intel,524288,138.43,3787.39
intel,1048576,225.70,4645.97
intel,2097152,426.35,4918.84
intel,4194304,870.91,4816.02
intel,0,7.23,0.00
intel,1,6.82,0.15
intel,2,7.32,0.27
intel,4,6.84,0.59
intel,8,6.81,1.17
intel,16,6.91,2.32
intel,32,6.72,4.77
intel,64,6.54,9.78
intel,128,6.79,18.84
intel,256,6.80,37.67
intel,512,7.13,71.77
intel,1024,8.45,121.18
intel,2048,7.55,271.41
intel,4096,9.16,447.15
intel,8192,9.04,906.60
intel,16384,11.59,1413.98
intel,32768,21.36,1534.10
intel,65536,43.39,1510.41
intel,131072,58.11,2255.68
intel,262144,92.06,2847.64
intel,524288,138.12,3795.88
intel,1048576,245.75,4266.89
intel,2097152,440.82,4757.43
intel,4194304,826.99,5071.79
intel,0,7.12,0.00
intel,1,8.21,0.12
intel,2,6.64,0.30
intel,4,6.74,0.59
intel,8,6.65,1.20
intel,16,6.47,2.47
intel,32,7.10,4.51
intel,64,7.36,8.69
intel,128,6.71,19.08
intel,256,6.81,37.59
intel,512,6.80,75.30
intel,1024,7.72,132.61
intel,2048,7.60,269.59
intel,4096,10.56,387.92
intel,8192,10.04,815.97
intel,16384,12.38,1323.62
intel,32768,20.46,1601.25
intel,65536,43.42,1509.25
intel,131072,62.72,2089.76
intel,262144,91.59,2862.12
intel,524288,134.17,3907.50
intel,1048576,239.13,4384.95
intel,2097152,481.30,4357.23
intel,4194304,833.06,5034.83
intel,0,6.96,0.00
intel,1,6.55,0.15
intel,2,6.38,0.31
intel,4,7.80,0.51
intel,8,6.26,1.28
intel,16,6.76,2.37
intel,32,6.47,4.95
