apps,bytes,time,mbytes-sec
intel,0,6.13,0.00
intel,1,5.86,0.17
intel,2,5.47,0.37
intel,4,5.53,0.72
intel,8,5.47,1.46
intel,16,5.76,2.78
intel,32,5.40,5.92
intel,64,5.64,11.34
intel,128,5.85,21.90
intel,256,5.74,44.59
intel,512,6.77,75.65
intel,1024,6.07,168.65
intel,2048,6.51,314.78
intel,4096,7.19,570.03
intel,8192,8.33,983.38
intel,16384,10.68,1534.38
intel,32768,14.72,2226.02
intel,65536,32.46,2019.05
intel,131072,45.55,2877.63
intel,262144,62.03,4226.07
intel,524288,114.00,4599.05
intel,1048576,202.56,5176.51
intel,2097152,394.04,5322.22
intel,4194304,753.77,5564.43
intel,0,6.16,0.00
intel,1,5.85,0.17
intel,2,6.12,0.33
intel,4,6.55,0.61
intel,8,6.01,1.33
intel,16,6.54,2.45
intel,32,7.08,4.52
intel,64,6.24,10.25
intel,128,6.11,20.94
intel,256,6.35,40.29
intel,512,5.76,88.81
intel,1024,6.57,155.96
intel,2048,6.77,302.33
intel,4096,7.38,554.74
intel,8192,7.78,1052.52
intel,16384,11.31,1448.21
intel,32768,16.31,2009.51
intel,65536,34.51,1899.20
intel,131072,48.55,2699.96
intel,262144,66.70,3930.22
intel,524288,110.09,4762.47
intel,1048576,194.79,5383.09
intel,2097152,385.95,5433.76
intel,4194304,772.08,5432.49
intel,0,6.81,0.00
intel,1,6.60,0.15
intel,2,6.34,0.32
intel,4,5.43,0.74
intel,8,6.95,1.15
intel,16,6.30,2.54
intel,32,5.82,5.50
intel,64,5.89,10.87
intel,128,6.89,18.58
intel,256,5.63,45.50
intel,512,5.84,87.67
intel,1024,5.96,171.82
intel,2048,6.81,300.65
intel,4096,7.85,521.78
intel,8192,8.88,922.12
intel,16384,10.40,1576.07
intel,32768,15.59,2102.33
intel,65536,35.24,1859.84
intel,131072,43.06,3043.66
intel,262144,63.11,4153.69
intel,524288,107.12,4894.62
intel,1048576,205.59,5100.21
intel,2097152,437.41,4794.49
intel,4194304,776.69,5400.20
intel,0,6.68,0.00
intel,1,6.28,0.16
intel,2,6.24,0.32
intel,4,5.88,0.68
intel,8,5.99,1.34
intel,16,5.61,2.85
intel,32,6.86,4.66
intel,64,6.82,9.38
intel,128,6.39,20.02
intel,256,6.72,38.10
intel,512,6.18,82.81
intel,1024,6.16,166.27
intel,2048,6.77,302.61
intel,4096,9.29,440.92
intel,8192,9.38,873.37
intel,16384,10.56,1551.86
intel,32768,15.63,2096.48
intel,65536,36.68,1786.82
intel,131072,43.21,3033.56
intel,262144,74.67,3510.85
intel,524288,117.68,4455.12
intel,1048576,224.75,4665.50
intel,2097152,403.89,5192.44
intel,4194304,884.98,4739.42
intel,0,6.47,0.00
intel,1,5.53,0.18
intel,2,5.45,0.37
intel,4,5.49,0.73
intel,8,6.65,1.20
intel,16,6.28,2.55
intel,32,6.31,5.07
intel,64,5.55,11.53
intel,128,6.62,19.34
intel,256,5.60,45.72
intel,512,6.03,84.96
intel,1024,6.16,166.18
intel,2048,6.50,315.21
intel,4096,7.28,562.26
intel,8192,7.72,1061.03
intel,16384,10.05,1630.67
intel,32768,16.81,1949.71
intel,65536,34.23,1914.50
intel,131072,43.65,3003.12
intel,262144,61.94,4231.95
intel,524288,105.11,4987.95
intel,1048576,201.79,5196.25
intel,2097152,403.03,5203.50
intel,4194304,783.56,5352.90
intel,0,5.90,0.00
intel,1,5.57,0.18
intel,2,5.92,0.34
intel,4,5.45,0.73
intel,8,7.11,1.13
intel,16,5.92,2.70
intel,32,5.97,5.36
intel,64,5.61,11.40
intel,128,5.48,23.35
intel,256,5.95,43.06
intel,512,5.76,88.94
intel,1024,6.69,153.15
intel,2048,6.44,318.16
intel,4096,8.50,481.79
intel,8192,7.73,1059.35
intel,16384,12.21,1341.80
intel,32768,16.36,2002.71
intel,65536,38.07,1721.29
intel,131072,42.60,3076.70
intel,262144,74.68,3510.23
intel,524288,103.69,5056.45
intel,1048576,205.14,5111.51
intel,2097152,378.02,5547.80
intel,4194304,844.62,4965.89
intel,0,5.66,0.00
intel,1,5.48,0.18
intel,2,5.60,0.36
intel,4,5.50,0.73
intel,8,5.95,1.34
intel,16,5.69,2.81
intel,32,5.34,6.00
intel,64,6.13,10.45
intel,128,5.79,22.10
intel,256,5.45,47.01
intel,512,5.59,91.57
intel,1024,6.62,154.77
intel,2048,6.46,316.82
intel,4096,7.75,528.41
intel,8192,8.10,1010.98
intel,16384,10.21,1604.82
intel,32768,15.49,2116.05
intel,65536,31.70,2067.50
intel,131072,40.09,3269.30
intel,262144,60.55,4329.20
intel,524288,101.15,5183.06
intel,1048576,194.21,5399.15
intel,2097152,401.71,5220.58
intel,4194304,736.16,5697.56
intel,0,5.84,0.00
intel,1,5.62,0.18
intel,2,5.48,0.36
intel,4,5.64,0.71
intel,8,5.50,1.46
intel,16,6.09,2.63
intel,32,5.46,5.86
intel,64,5.51,11.62
intel,128,5.52,23.18
intel,256,5.66,45.20
intel,512,5.86,87.37
intel,1024,5.70,179.56
intel,2048,6.41,319.33
intel,4096,8.01,511.53
intel,8192,7.51,1091.27
intel,16384,10.17,1610.51
intel,32768,14.16,2314.91
intel,65536,31.66,2069.92
intel,131072,48.11,2724.44
intel,262144,60.32,4345.77
intel,524288,108.74,4821.33
intel,1048576,199.47,5256.92
intel,2097152,400.35,5238.34
intel,4194304,759.14,5525.04
intel,0,6.46,0.00
intel,1,6.54,0.15
intel,2,7.94,0.25
intel,4,7.15,0.56
intel,8,6.31,1.27
intel,16,6.46,2.48
intel,32,6.52,4.91
intel,64,6.49,9.87
intel,128,6.50,19.71
intel,256,6.61,38.75
intel,512,6.52,78.48
intel,1024,6.70,152.83
intel,2048,8.07,253.92
intel,4096,8.27,495.54
intel,8192,8.98,912.37
intel,16384,11.60,1412.04
intel,32768,16.71,1960.74
intel,65536,38.16,1717.24
intel,131072,47.45,2762.53
intel,262144,70.67,3709.37
intel,524288,117.93,4445.86
intel,1048576,217.97,4810.68
intel,2097152,424.52,4940.11
intel,4194304,900.89,4655.73
intel,0,5.97,0.00
intel,1,5.87,0.17
intel,2,5.73,0.35
intel,4,5.53,0.72
intel,8,5.96,1.34
