apps,time
ft,1147.21
mg,66.21
ft,1141.88
is,110.43
bt,797.13
mg,66.71
is,110.94
sp,1138.55
bt,801.80
bt,795.75
mg,66.96
mg,66.09
bt,791.88
ft,1159.61
ft,1148.97
mg,66.38
lu,482.49
cg,636.82
is,110.90
ep,61.73
alya,351.08
mg,66.40
sp,1152.68
ft,1142.40
cg,601.40
alya,350.25
ft,1160.24
lu,481.63
ft,1144.45
mg,66.79
alya,358.81
bt,794.77
cg,582.15
ep,60.98
ft,1139.12
lu,481.01
lu,480.62
ep,62.12
bt,798.94
ft,1154.02
cg,619.10
mg,68.37
is,111.35
bt,795.38
bt,791.44
ep,61.26
is,112.66
ep,61.01
cg,587.24
ep,60.92
lu,487.81
sp,1158.66
is,110.24
cg,593.98
alya,352.08
cg,593.04
mg,66.06
is,110.75
is,111.43
ft,1148.97
sp,1135.92
is,111.29
sp,1142.30
alya,354.50
ft,1159.08
bt,792.24
ft,1137.38
alya,350.10
ep,61.01
bt,801.59
alya,351.77
is,111.00
lu,482.88
sp,1136.99
sp,1138.28
sp,1160.22
alya,354.19
ft,1145.75
cg,590.00
bt,800.42
mg,66.21
ft,1147.19
sp,1133.33
sp,1137.52
lu,483.46
lu,478.07
lu,485.27
is,111.33
cg,575.66
alya,354.36
lu,486.49
is,110.33
ft,1153.01
alya,350.77
mg,66.71
alya,355.48
ep,62.50
alya,352.62
bt,805.36
mg,66.47
cg,643.44
ep,61.23
cg,579.54
is,111.53
lu,482.91
is,111.24
lu,483.04
alya,357.29
ep,62.01
ep,61.09
cg,621.82
sp,1148.69
lu,481.07
bt,797.97
alya,352.68
bt,798.56
ep,62.21
cg,585.77
bt,796.99
mg,66.38
ep,61.83
alya,354.52
mg,66.47
sp,1120.80
cg,622.22
cg,591.68
cg,653.32
ep,61.63
sp,1170.88
is,110.19
mg,66.52
cg,586.65
cg,585.53
ep,61.66
sp,1146.85
lu,482.12
cg,577.22
sp,1161.32
is,115.65
sp,1131.25
ep,61.50
mg,66.67
bt,790.64
mg,66.18
bt,796.97
mg,66.87
mg,67.13
sp,1142.74
alya,354.96
bt,796.83
ep,61.13
mg,66.59
bt,795.55
ft,1154.71
ft,1139.41
ep,61.08
is,110.30
alya,352.10
cg,624.02
is,111.96
lu,481.64
lu,484.85
mg,67.36
is,111.09
alya,351.58
is,110.58
sp,1142.82
lu,484.22
cg,612.21
ft,1150.12
mg,66.27
bt,800.59
bt,805.98
alya,355.05
mg,66.04
alya,352.01
ep,61.59
is,110.21
cg,596.84
ep,61.12
alya,350.60
sp,1136.86
is,110.96
ep,60.93
mg,66.43
ft,1162.03
bt,798.50
sp,1155.68
ft,1159.72
is,110.23
ft,1146.30
bt,790.23
alya,350.73
bt,804.25
sp,1133.02
alya,352.40
mg,65.93
ft,1138.42
is,110.56
cg,578.41
lu,485.28
sp,1144.28
bt,789.76
alya,353.24
ep,61.46
cg,628.40
bt,796.45
ep,61.11
alya,346.27
cg,573.02
sp,1150.18
mg,66.45
lu,485.20
ep,61.65
bt,798.73
ft,1143.58
lu,480.66
lu,481.93
mg,66.49
cg,631.44
ft,1162.94
cg,620.29
ep,61.30
is,110.61
sp,1152.61
sp,1134.74
is,110.64
ft,1162.62
lu,482.33
is,111.10
lu,486.02
lu,480.83
lu,482.31
alya,350.92
cg,613.19
lu,480.41
alya,351.39
mg,68.26
alya,351.55
ep,62.40
bt,794.21
bt,801.74
ep,61.23
lu,489.12
mg,65.83
alya,349.81
cg,612.86
lu,488.29
ft,1151.72
sp,1132.98
ft,1142.92
ep,61.01
alya,350.99
sp,1136.82
is,113.93
ep,61.74
sp,1171.64
lu,482.96
sp,1123.94
mg,66.41
ft,1137.79
cg,615.06
ft,1135.26
is,109.78
sp,1148.06
is,113.59
lu,482.87
bt,800.12
ft,1154.96
ep,61.23
,
