apps,bytes,time,mbytes-sec
intel,0,8.70,0.00
intel,1,9.05,0.11
intel,2,8.66,0.23
intel,4,9.11,0.44
intel,8,8.53,0.94
intel,16,8.64,1.85
intel,32,9.15,3.50
intel,64,9.01,7.10
intel,128,10.36,12.35
intel,256,9.21,27.79
intel,512,9.41,54.42
intel,1024,9.34,109.59
intel,2048,9.80,208.96
intel,4096,11.82,346.48
intel,8192,12.58,651.27
intel,16384,17.97,911.94
intel,32768,25.60,1279.82
intel,65536,64.58,1014.79
intel,131072,72.60,1805.51
intel,262144,103.23,2539.49
intel,524288,184.53,2841.25
intel,1048576,283.02,3705.02
intel,2097152,537.98,3898.16
intel,4194304,1035.28,4051.36
intel,0,8.83,0.00
intel,1,8.48,0.12
intel,2,8.25,0.24
intel,4,9.68,0.41
intel,8,8.46,0.95
intel,16,8.56,1.87
intel,32,8.73,3.66
intel,64,8.92,7.17
intel,128,8.83,14.49
intel,256,10.60,24.15
intel,512,9.24,55.41
intel,1024,9.35,109.52
intel,2048,9.82,208.65
intel,4096,12.82,319.54
intel,8192,12.77,641.45
intel,16384,16.21,1010.99
intel,32768,25.29,1295.57
intel,65536,57.47,1140.44
intel,131072,74.46,1760.28
intel,262144,103.15,2541.49
intel,524288,164.15,3193.95
intel,1048576,283.44,3699.53
intel,2097152,531.20,3947.97
intel,4194304,1047.19,4005.30
intel,0,8.84,0.00
intel,1,8.80,0.11
intel,2,8.33,0.24
intel,4,8.90,0.45
intel,8,8.61,0.93
intel,16,9.39,1.70
intel,32,8.38,3.82
intel,64,8.39,7.63
intel,128,8.43,15.18
intel,256,9.09,28.16
intel,512,11.49,44.58
intel,1024,9.09,112.67
intel,2048,9.80,208.99
intel,4096,11.31,362.16
intel,8192,12.29,666.75
intel,16384,16.53,991.05
intel,32768,28.85,1135.70
intel,65536,59.17,1107.56
intel,131072,72.52,1807.47
intel,262144,102.49,2557.87
intel,524288,163.23,3211.99
intel,1048576,283.94,3693.01
intel,2097152,513.54,4083.73
intel,4194304,1049.73,3995.59
intel,0,8.97,0.00
intel,1,8.72,0.11
intel,2,8.49,0.24
intel,4,10.51,0.38
intel,8,8.92,0.90
intel,16,8.46,1.89
intel,32,8.92,3.59
intel,64,8.94,7.16
intel,128,8.49,15.07
